2026/04/27 01:20:46.759, 42, 9 %, 9 %, 1296 MiB
2026/04/27 01:20:57.204, 42, 23 %, 19 %, 1293 MiB
2026/04/27 01:21:06.979, 42, 19 %, 16 %, 1293 MiB
2026/04/27 01:21:16.857, 42, 18 %, 8 %, 1384 MiB
2026/04/27 01:21:26.744, 43, 21 %, 18 %, 7538 MiB
2026/04/27 01:21:37.190, 43, 22 %, 18 %, 7548 MiB
2026/04/27 01:21:46.982, 43, 23 %, 18 %, 7558 MiB
2026/04/27 01:21:56.867, 43, 25 %, 19 %, 7548 MiB
2026/04/27 01:22:07.359, 43, 23 %, 17 %, 7539 MiB
2026/04/27 01:22:17.072, 49, 74 %, 74 %, 7540 MiB
2026/04/27 01:22:26.947, 51, 77 %, 80 %, 7542 MiB
2026/04/27 01:22:37.427, 52, 81 %, 86 %, 7536 MiB
2026/04/27 01:22:47.158, 55, 77 %, 80 %, 7542 MiB
2026/04/27 01:22:57.020, 56, 79 %, 84 %, 7544 MiB
2026/04/27 01:23:07.470, 58, 79 %, 85 %, 7540 MiB
2026/04/27 01:23:17.392, 56, 84 %, 93 %, 7539 MiB
2026/04/27 01:23:27.273, 55, 82 %, 90 %, 7551 MiB
2026/04/27 01:23:37.145, 54, 82 %, 89 %, 7544 MiB
2026/04/27 01:23:47.436, 54, 77 %, 83 %, 7532 MiB
2026/04/27 01:23:57.304, 53, 85 %, 94 %, 7546 MiB
2026/04/27 01:24:07.171, 53, 79 %, 86 %, 7532 MiB
2026/04/27 01:24:17.524, 52, 82 %, 89 %, 7539 MiB
2026/04/27 01:24:27.394, 53, 78 %, 86 %, 7541 MiB
2026/04/27 01:24:37.261, 53, 77 %, 84 %, 7539 MiB
2026/04/27 01:24:47.620, 52, 79 %, 87 %, 7539 MiB
2026/04/27 01:24:57.487, 53, 81 %, 89 %, 7533 MiB
2026/04/27 01:25:07.352, 52, 78 %, 85 %, 7537 MiB
2026/04/27 01:25:17.704, 53, 83 %, 92 %, 7535 MiB
2026/04/27 01:25:27.571, 53, 82 %, 89 %, 7537 MiB
2026/04/27 01:25:37.437, 54, 83 %, 91 %, 7537 MiB
2026/04/27 01:25:47.306, 54, 86 %, 95 %, 7536 MiB
2026/04/27 01:25:57.671, 53, 80 %, 88 %, 7537 MiB
2026/04/27 01:26:07.537, 54, 83 %, 92 %, 7529 MiB
2026/04/27 01:26:17.403, 54, 81 %, 89 %, 7530 MiB
2026/04/27 01:26:27.767, 54, 81 %, 90 %, 7535 MiB
2026/04/27 01:26:37.634, 54, 81 %, 88 %, 7528 MiB
2026/04/27 01:26:47.499, 54, 84 %, 93 %, 7536 MiB
2026/04/27 01:26:57.864, 54, 61 %, 66 %, 7538 MiB
2026/04/27 01:27:07.732, 54, 84 %, 94 %, 7537 MiB
2026/04/27 01:27:17.599, 55, 76 %, 83 %, 7537 MiB
2026/04/27 01:27:27.466, 55, 82 %, 90 %, 7533 MiB
2026/04/27 01:27:37.830, 55, 81 %, 89 %, 7537 MiB
2026/04/27 01:27:47.695, 54, 85 %, 94 %, 7537 MiB
2026/04/27 01:27:57.561, 55, 76 %, 83 %, 7534 MiB
2026/04/27 01:28:07.929, 55, 78 %, 85 %, 7527 MiB
2026/04/27 01:28:17.796, 55, 84 %, 92 %, 7530 MiB
2026/04/27 01:28:27.661, 54, 80 %, 87 %, 7534 MiB
2026/04/27 01:28:38.018, 55, 83 %, 91 %, 7529 MiB
2026/04/27 01:28:47.885, 55, 82 %, 90 %, 7534 MiB
2026/04/27 01:28:57.752, 55, 80 %, 88 %, 7538 MiB
2026/04/27 01:29:08.111, 55, 79 %, 87 %, 7532 MiB
2026/04/27 01:29:17.977, 54, 82 %, 90 %, 7536 MiB
2026/04/27 01:29:27.845, 54, 81 %, 89 %, 7531 MiB
2026/04/27 01:29:37.710, 55, 79 %, 87 %, 7530 MiB
2026/04/27 01:29:48.090, 55, 80 %, 87 %, 7529 MiB
2026/04/27 01:29:57.959, 55, 81 %, 89 %, 7536 MiB
2026/04/27 01:30:07.847, 54, 78 %, 85 %, 7534 MiB
2026/04/27 01:30:18.208, 55, 78 %, 87 %, 7545 MiB
2026/04/27 01:30:28.070, 54, 80 %, 87 %, 7538 MiB
2026/04/27 01:30:37.929, 55, 85 %, 94 %, 7533 MiB
2026/04/27 01:30:48.309, 55, 84 %, 92 %, 7537 MiB
2026/04/27 01:30:58.175, 55, 79 %, 87 %, 7533 MiB
2026/04/27 01:31:08.034, 54, 82 %, 91 %, 7537 MiB
2026/04/27 01:31:18.412, 55, 83 %, 93 %, 7547 MiB
2026/04/27 01:31:28.275, 55, 81 %, 92 %, 7554 MiB
2026/04/27 01:31:38.133, 55, 74 %, 82 %, 7557 MiB
2026/04/27 01:31:48.002, 55, 81 %, 92 %, 7555 MiB
2026/04/27 01:31:58.386, 55, 76 %, 86 %, 7553 MiB
2026/04/27 01:32:08.244, 54, 80 %, 91 %, 7546 MiB
2026/04/27 01:32:18.094, 49, 1 %, 5 %, 7548 MiB
2026/04/27 01:32:28.463, 47, 4 %, 9 %, 7543 MiB
2026/04/27 01:32:38.325, 46, 5 %, 10 %, 7549 MiB
2026/04/27 01:32:48.209, 45, 4 %, 9 %, 7549 MiB
2026/04/27 01:32:58.615, 43, 4 %, 10 %, 7549 MiB
2026/04/27 01:33:08.475, 45, 1 %, 0 %, 1409 MiB
